"Geschäft";"Geschäfts ID";"Datum";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"Betrag MwSt";"Gesamtrabatt";"Gesamt Stornos";"Gesamtrückerstattung (inkl. Steuer)";"Gesamtrückerstattung (ohne Steuer)";"Gesamt Zahlungen";"Gesamtausgaben";"Gesamtbetrag Kundenkonten";"Gesamtbetrag Trinkgeld"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"935,80";"845,66";"90,14";"6,60";"0,00";"0,00";"0,00";"967,26";"0,00";"0,00";"31,46"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"1321,67";"1187,99";"133,68";"13,65";"4,00";"0,00";"0,00";"1368,09";"0,00";"0,00";"46,42"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"806,20";"732,16";"74,04";"0,00";"0,00";"0,00";"0,00";"828,55";"0,00";"0,00";"22,35"
"Suedseite - Bakery and Roastery";"55978";"2025-06-18";"EUR";"695,13";"624,29";"70,84";"6,97";"0,00";"0,00";"0,00";"703,69";"0,00";"0,00";"8,56"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"1130,20";"1014,35";"115,85";"0,00";"0,00";"0,00";"0,00";"1182,65";"0,00";"0,00";"52,45"
"Suedseite - Bakery and Roastery";"55978";"2025-06-20";"EUR";"1070,57";"975,60";"94,97";"0,00";"15,30";"0,00";"0,00";"1096,18";"0,00";"0,00";"25,61"
"Suedseite - Bakery and Roastery";"55978";"2025-06-21";"EUR";"1371,40";"1239,49";"131,91";"0,00";"10,00";"0,00";"0,00";"1416,12";"0,00";"0,00";"44,72"
"Suedseite - Bakery and Roastery";"55978";"2025-06-22";"EUR";"1320,51";"1190,18";"130,33";"12,60";"0,00";"0,00";"0,00";"1354,13";"0,00";"0,00";"33,62"
"Suedseite - Bakery and Roastery";"55978";"2025-06-23";"EUR";"25,00";"23,36";"1,64";"0,00";"0,00";"0,00";"0,00";"25,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-24";"EUR";"860,44";"781,42";"78,38";"3,60";"0,00";"-4,00";"-3,36";"872,53";"0,00";"0,00";"16,09"
"Suedseite - Bakery and Roastery";"55978";"2025-06-25";"EUR";"885,20";"805,39";"79,81";"7,40";"0,00";"0,00";"0,00";"902,81";"0,00";"0,00";"17,61"
"Suedseite - Bakery and Roastery";"55978";"2025-06-26";"EUR";"767,50";"697,00";"70,50";"0,00";"0,00";"0,00";"0,00";"789,39";"0,00";"0,00";"21,89"
"Suedseite - Bakery and Roastery";"55978";"2025-06-27";"EUR";"1075,38";"974,36";"101,02";"3,82";"0,00";"0,00";"0,00";"1107,19";"0,00";"0,00";"21,81"
"Suedseite - Bakery and Roastery";"55978";"2025-06-28";"EUR";"989,70";"890,90";"98,80";"4,80";"0,00";"0,00";"0,00";"1007,86";"0,00";"0,00";"28,16"
"Suedseite - Bakery and Roastery";"55978";"2025-06-29";"EUR";"1292,95";"1157,47";"135,48";"9,75";"0,00";"0,00";"0,00";"1357,23";"0,00";"0,00";"64,28"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"1553,65";"1398,36";"155,29";"6,75";"0,00";"0,00";"0,00";"1606,47";"0,00";"0,00";"52,82"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"823,00";"744,23";"78,77";"0,00";"0,00";"0,00";"0,00";"835,15";"0,00";"0,00";"12,15"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"801,10";"729,25";"70,82";"0,00";"4,20";"-10,00";"-8,97";"824,35";"0,00";"0,00";"33,25"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"1015,20";"924,05";"91,15";"2,10";"0,00";"0,00";"0,00";"1039,30";"0,00";"0,00";"24,10"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"1180,51";"1070,36";"110,15";"0,00";"3,30";"0,00";"0,00";"1206,49";"0,00";"0,00";"25,98"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"1598,81";"1448,05";"149,23";"1,80";"0,00";"-11,50";"-9,97";"1634,02";"0,00";"0,00";"46,71"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"1554,60";"1399,54";"154,40";"0,00";"0,00";"-10,10";"-9,44";"1587,10";"0,00";"0,00";"42,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-09";"EUR";"89,00";"83,18";"5,82";"0,00";"0,00";"0,00";"0,00";"89,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"532,52";"482,97";"47,95";"4,48";"5,60";"-18,60";"-17,00";"523,16";"0,00";"0,00";"9,24"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"631,80";"574,15";"57,65";"0,00";"0,00";"0,00";"0,00";"653,47";"0,00";"0,00";"21,67"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"578,14";"514,90";"63,24";"0,00";"0,00";"0,00";"0,00";"597,08";"0,00";"0,00";"18,94"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"667,96";"606,14";"61,82";"4,00";"0,00";"0,00";"0,00";"685,28";"0,00";"0,00";"17,32"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"935,80";"845,66";"90,14";"6,60";"0,00";"0,00";"0,00";"967,26";"0,00";"0,00";"31,46"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"1321,67";"1187,99";"133,68";"13,65";"4,00";"0,00";"0,00";"1368,09";"0,00";"0,00";"46,42"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"806,20";"732,16";"74,04";"0,00";"0,00";"0,00";"0,00";"828,55";"0,00";"0,00";"22,35"
"Suedseite - Bakery and Roastery";"55978";"2025-06-18";"EUR";"695,13";"624,29";"70,84";"6,97";"0,00";"0,00";"0,00";"703,69";"0,00";"0,00";"8,56"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"1130,20";"1014,35";"115,85";"0,00";"0,00";"0,00";"0,00";"1182,65";"0,00";"0,00";"52,45"
"Suedseite - Bakery and Roastery";"55978";"2025-06-20";"EUR";"1070,57";"975,60";"94,97";"0,00";"15,30";"0,00";"0,00";"1096,18";"0,00";"0,00";"25,61"
"Suedseite - Bakery and Roastery";"55978";"2025-06-21";"EUR";"1371,40";"1239,49";"131,91";"0,00";"10,00";"0,00";"0,00";"1416,12";"0,00";"0,00";"44,72"
"Suedseite - Bakery and Roastery";"55978";"2025-06-22";"EUR";"1320,51";"1190,18";"130,33";"12,60";"0,00";"0,00";"0,00";"1354,13";"0,00";"0,00";"33,62"
"Suedseite - Bakery and Roastery";"55978";"2025-06-23";"EUR";"25,00";"23,36";"1,64";"0,00";"0,00";"0,00";"0,00";"25,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-24";"EUR";"860,44";"781,42";"78,38";"3,60";"0,00";"-4,00";"-3,36";"872,53";"0,00";"0,00";"16,09"
"Suedseite - Bakery and Roastery";"55978";"2025-06-25";"EUR";"885,20";"805,39";"79,81";"7,40";"0,00";"0,00";"0,00";"902,81";"0,00";"0,00";"17,61"
"Suedseite - Bakery and Roastery";"55978";"2025-06-26";"EUR";"767,50";"697,00";"70,50";"0,00";"0,00";"0,00";"0,00";"789,39";"0,00";"0,00";"21,89"
"Suedseite - Bakery and Roastery";"55978";"2025-06-27";"EUR";"1075,38";"974,36";"101,02";"3,82";"0,00";"0,00";"0,00";"1107,19";"0,00";"0,00";"21,81"
"Suedseite - Bakery and Roastery";"55978";"2025-06-28";"EUR";"989,70";"890,90";"98,80";"4,80";"0,00";"0,00";"0,00";"1007,86";"0,00";"0,00";"28,16"
"Suedseite - Bakery and Roastery";"55978";"2025-06-29";"EUR";"1292,95";"1157,47";"135,48";"9,75";"0,00";"0,00";"0,00";"1357,23";"0,00";"0,00";"64,28"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"1553,65";"1398,36";"155,29";"6,75";"0,00";"0,00";"0,00";"1606,47";"0,00";"0,00";"52,82"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"823,00";"744,23";"78,77";"0,00";"0,00";"0,00";"0,00";"835,15";"0,00";"0,00";"12,15"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"801,10";"729,25";"70,82";"0,00";"4,20";"-10,00";"-8,97";"824,35";"0,00";"0,00";"33,25"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"1015,20";"924,05";"91,15";"2,10";"0,00";"0,00";"0,00";"1039,30";"0,00";"0,00";"24,10"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"1180,51";"1070,36";"110,15";"0,00";"3,30";"0,00";"0,00";"1206,49";"0,00";"0,00";"25,98"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"1598,81";"1448,05";"149,23";"1,80";"0,00";"-11,50";"-9,97";"1634,02";"0,00";"0,00";"46,71"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"1554,60";"1399,54";"154,40";"0,00";"0,00";"-10,10";"-9,44";"1587,10";"0,00";"0,00";"42,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-09";"EUR";"89,00";"83,18";"5,82";"0,00";"0,00";"0,00";"0,00";"89,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"532,52";"482,97";"47,95";"4,48";"5,60";"-18,60";"-17,00";"523,16";"0,00";"0,00";"9,24"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"631,80";"574,15";"57,65";"0,00";"0,00";"0,00";"0,00";"653,47";"0,00";"0,00";"21,67"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"578,14";"514,90";"63,24";"0,00";"0,00";"0,00";"0,00";"597,08";"0,00";"0,00";"18,94"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"667,96";"606,14";"61,82";"4,00";"0,00";"0,00";"0,00";"685,28";"0,00";"0,00";"17,32"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"935,80";"845,66";"90,14";"6,60";"0,00";"0,00";"0,00";"967,26";"0,00";"0,00";"31,46"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"1321,67";"1187,99";"133,68";"13,65";"4,00";"0,00";"0,00";"1368,09";"0,00";"0,00";"46,42"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"806,20";"732,16";"74,04";"0,00";"0,00";"0,00";"0,00";"828,55";"0,00";"0,00";"22,35"
"Suedseite - Bakery and Roastery";"55978";"2025-06-18";"EUR";"695,13";"624,29";"70,84";"6,97";"0,00";"0,00";"0,00";"703,69";"0,00";"0,00";"8,56"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"1130,20";"1014,35";"115,85";"0,00";"0,00";"0,00";"0,00";"1182,65";"0,00";"0,00";"52,45"
"Suedseite - Bakery and Roastery";"55978";"2025-06-20";"EUR";"1070,57";"975,60";"94,97";"0,00";"15,30";"0,00";"0,00";"1096,18";"0,00";"0,00";"25,61"
"Suedseite - Bakery and Roastery";"55978";"2025-06-21";"EUR";"1371,40";"1239,49";"131,91";"0,00";"10,00";"0,00";"0,00";"1416,12";"0,00";"0,00";"44,72"
"Suedseite - Bakery and Roastery";"55978";"2025-06-22";"EUR";"1320,51";"1190,18";"130,33";"12,60";"0,00";"0,00";"0,00";"1354,13";"0,00";"0,00";"33,62"
"Suedseite - Bakery and Roastery";"55978";"2025-06-23";"EUR";"25,00";"23,36";"1,64";"0,00";"0,00";"0,00";"0,00";"25,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-24";"EUR";"860,44";"781,42";"78,38";"3,60";"0,00";"-4,00";"-3,36";"872,53";"0,00";"0,00";"16,09"
"Suedseite - Bakery and Roastery";"55978";"2025-06-25";"EUR";"885,20";"805,39";"79,81";"7,40";"0,00";"0,00";"0,00";"902,81";"0,00";"0,00";"17,61"
"Suedseite - Bakery and Roastery";"55978";"2025-06-26";"EUR";"767,50";"697,00";"70,50";"0,00";"0,00";"0,00";"0,00";"789,39";"0,00";"0,00";"21,89"
"Suedseite - Bakery and Roastery";"55978";"2025-06-27";"EUR";"1075,38";"974,36";"101,02";"3,82";"0,00";"0,00";"0,00";"1107,19";"0,00";"0,00";"21,81"
"Suedseite - Bakery and Roastery";"55978";"2025-06-28";"EUR";"989,70";"890,90";"98,80";"4,80";"0,00";"0,00";"0,00";"1007,86";"0,00";"0,00";"28,16"
"Suedseite - Bakery and Roastery";"55978";"2025-06-29";"EUR";"1292,95";"1157,47";"135,48";"9,75";"0,00";"0,00";"0,00";"1357,23";"0,00";"0,00";"64,28"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"801,10";"729,25";"70,82";"0,00";"4,20";"-10,00";"-8,97";"824,35";"0,00";"0,00";"33,25"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"1598,81";"1448,05";"149,23";"1,80";"0,00";"-11,50";"-9,97";"1634,02";"0,00";"0,00";"46,71"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"1554,60";"1399,54";"154,40";"0,00";"0,00";"-10,10";"-9,44";"1587,10";"0,00";"0,00";"42,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"532,52";"482,97";"47,95";"4,48";"5,60";"-18,60";"-17,00";"523,16";"0,00";"0,00";"9,24"
"Suedseite - Bakery and Roastery";"55978";"2025-06-24";"EUR";"860,44";"781,42";"78,38";"3,60";"0,00";"-4,00";"-3,36";"872,53";"0,00";"0,00";"16,09"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"1553,65";"1398,36";"155,29";"6,75";"0,00";"0,00";"0,00";"1606,47";"0,00";"0,00";"52,82"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"823,00";"744,23";"78,77";"0,00";"0,00";"0,00";"0,00";"835,15";"0,00";"0,00";"12,15"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"801,10";"729,25";"70,82";"0,00";"4,20";"-10,00";"-8,97";"824,35";"0,00";"0,00";"33,25"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"1015,20";"924,05";"91,15";"2,10";"0,00";"0,00";"0,00";"1039,30";"0,00";"0,00";"24,10"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"1180,51";"1070,36";"110,15";"0,00";"3,30";"0,00";"0,00";"1206,49";"0,00";"0,00";"25,98"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"1598,81";"1448,05";"149,23";"1,80";"0,00";"-11,50";"-9,97";"1634,02";"0,00";"0,00";"46,71"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"1554,60";"1399,54";"154,40";"0,00";"0,00";"-10,10";"-9,44";"1587,10";"0,00";"0,00";"42,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"532,52";"482,97";"47,95";"4,48";"5,60";"-18,60";"-17,00";"523,16";"0,00";"0,00";"9,24"
