"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"0,00";"-7,60";"-7,60";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"0,07";"685,40";"733,70";"0,00";"0,00";"48,30"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"0,19";"268,71";"319,80";"6,72";"8,00";"49,81"
"Suedseite - Bakery and Roastery";"55978";"2025-01-04";"EUR";"0,00";"50,00";"50,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-04";"EUR";"0,07";"689,50";"738,20";"0,00";"0,00";"48,70"
"Suedseite - Bakery and Roastery";"55978";"2025-01-04";"EUR";"0,19";"324,68";"386,40";"0,00";"0,00";"61,72"
"Suedseite - Bakery and Roastery";"55978";"2025-01-05";"EUR";"0,00";"-19,10";"-19,10";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-05";"EUR";"0,07";"505,55";"541,20";"0,00";"0,00";"35,65"
"Suedseite - Bakery and Roastery";"55978";"2025-01-05";"EUR";"0,19";"293,72";"349,50";"0,00";"0,00";"55,78"
"Suedseite - Bakery and Roastery";"55978";"2025-01-06";"EUR";"0,19";"10,08";"12,00";"0,00";"0,00";"1,92"
"Suedseite - Bakery and Roastery";"55978";"2025-01-07";"EUR";"0,07";"452,30";"484,20";"0,00";"0,00";"31,90"
"Suedseite - Bakery and Roastery";"55978";"2025-01-07";"EUR";"0,19";"185,63";"220,90";"0,00";"0,00";"35,27"
"Suedseite - Bakery and Roastery";"55978";"2025-01-08";"EUR";"0,07";"366,53";"392,40";"0,00";"0,00";"25,87"
"Suedseite - Bakery and Roastery";"55978";"2025-01-08";"EUR";"0,19";"123,76";"147,30";"0,00";"0,00";"23,54"
"Suedseite - Bakery and Roastery";"55978";"2025-01-09";"EUR";"0,07";"496,60";"531,50";"0,00";"0,00";"34,90"
"Suedseite - Bakery and Roastery";"55978";"2025-01-09";"EUR";"0,19";"150,10";"178,60";"0,00";"0,00";"28,50"
"Suedseite - Bakery and Roastery";"55978";"2025-01-10";"EUR";"0,00";"15,00";"15,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-10";"EUR";"0,07";"906,04";"969,80";"0,00";"0,00";"63,76"
"Suedseite - Bakery and Roastery";"55978";"2025-01-10";"EUR";"0,19";"282,97";"336,70";"0,00";"0,00";"53,73"
"Suedseite - Bakery and Roastery";"55978";"2025-01-11";"EUR";"0,07";"815,39";"872,80";"0,00";"0,00";"57,41"
"Suedseite - Bakery and Roastery";"55978";"2025-01-11";"EUR";"0,19";"352,48";"419,40";"0,00";"0,00";"66,92"
"Suedseite - Bakery and Roastery";"55978";"2025-01-12";"EUR";"0,00";"-11,40";"-11,40";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-12";"EUR";"0,07";"766,94";"820,90";"5,61";"6,00";"53,57"
"Suedseite - Bakery and Roastery";"55978";"2025-01-12";"EUR";"0,19";"545,54";"649,15";"13,65";"16,25";"101,01"
"Suedseite - Bakery and Roastery";"55978";"2025-01-13";"EUR";"0,00";"0,00";"0,00";"1,00";"1,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-13";"EUR";"0,07";"0,93";"1,00";"0,00";"0,00";"0,07"
"Suedseite - Bakery and Roastery";"55978";"2025-01-14";"EUR";"0,00";"30,00";"30,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-14";"EUR";"0,07";"614,29";"657,50";"0,00";"0,00";"43,21"
"Suedseite - Bakery and Roastery";"55978";"2025-01-14";"EUR";"0,19";"190,33";"226,50";"0,00";"0,00";"36,17"
"Suedseite - Bakery and Roastery";"55978";"2025-01-15";"EUR";"0,07";"441,72";"472,80";"0,00";"0,00";"31,08"
"Suedseite - Bakery and Roastery";"55978";"2025-01-15";"EUR";"0,19";"143,10";"170,30";"0,00";"0,00";"27,20"
"Suedseite - Bakery and Roastery";"55978";"2025-01-16";"EUR";"0,00";"-20,60";"-20,60";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-16";"EUR";"0,07";"600,34";"642,60";"0,00";"0,00";"42,26"
"Suedseite - Bakery and Roastery";"55978";"2025-01-16";"EUR";"0,19";"213,57";"254,14";"0,00";"0,00";"40,57"
"Suedseite - Bakery and Roastery";"55978";"2025-01-17";"EUR";"0,00";"-6,20";"-6,20";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-17";"EUR";"0,07";"732,68";"784,20";"0,00";"0,00";"51,52"
"Suedseite - Bakery and Roastery";"55978";"2025-01-17";"EUR";"0,19";"205,29";"244,30";"0,00";"0,00";"39,01"
"Suedseite - Bakery and Roastery";"55978";"2025-01-18";"EUR";"0,07";"894,44";"957,40";"10,18";"10,90";"62,24"
"Suedseite - Bakery and Roastery";"55978";"2025-01-18";"EUR";"0,19";"308,34";"366,90";"3,53";"4,20";"57,89"
"Suedseite - Bakery and Roastery";"55978";"2025-01-19";"EUR";"0,00";"-14,60";"-14,60";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-19";"EUR";"0,07";"764,73";"818,60";"0,00";"0,00";"53,87"
